"SMILES_STD","SAMPLE_NAME","SAMPLE_ID","GENE_SYMBOL"
"CN(C)C1=CC=C(C=C1)C(=O)NCCCCCCC(O)=NO","M344","NCGC00263617-05","HDAC1"
"CCN(CC)CC1=CC2=C(C=C1)C=C(COC(=O)NC3=CC=C(C=C3)C(O)=NO)C=C2","Givinostat hydrochloride","NCGC00346743-01","HDAC1"
"CN1C=C(\C=C\C(=O)C2=CC(F)=CC=C2)C=C1\C=C\C(O)=NO","MC-1568","NCGC00346534-01","HDAC2"
"COC1=CC=C(CN2C=CC3=C2C=C(C=C3)C(O)=NO)C=C1","PCI-34051","NCGC00345492-02","HDAC8"
"ON=C(O)\C=C\C#CC1=CC(NS(=O)(=O)C2=CC=CC=C2)=CC=C1","Oxamflatin","NCGC00346948-01","HDAC1"
"O=C(NC1=C(C=CC=C1)C2=CN3C(CN4CCNCC4)=CSC3=N2)C5=NC6=C(C=CC=C6)N=C5","SRT1720","NCGC00182052-03","SIRT1"
"OC1=CC2=C(C=C1)C(=O)C(O)=C(O2)C3=CC(O)=C(O)C=C3","Fisetin","NCGC00017344-06","SIRT1"
"OC1=CC=C(C=CC(=O)C2=C(O)C=C(O)C=C2)C=C1","Isoliquiritigenin","NCGC00090504-10","SIRT1"
"NC(=O)C1CCCC2=C1NC3=C2C=C(Cl)C=C3","EX-527","NCGC00242458-01","SIRT1"
"BrC1=CC(NC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCCCCC3)=CC=C1","Ak-7","NCGC00347936-01","SIRT2"
"CN(C)NC(=O)CCC(O)=O","Daminozide","NCGC00091281-07",""
"OC(=O)CCN=C1NC(=NC(=C1)N2CCC3=C(CC2)C=CC=C3)C4=NC=CC=C4","GSK-J1","NCGC00347943-01",""
"CC(N[C@@H]1C[C@@H]1C2=CC=CC=C2)C3=CC4=C(OCCO4)C=C3","LSD1-C76","NCGC00347951-01",""
"O=C(N1CCC(CC1)N2CCCC2)C3=CC(NC4=CC=CC=C4)=C(C=C3)C(=O)N5CCC(CC5)N6CCCC6","UNC1215","NCGC00344623-02",""
"BrC1=CC(=CN=C1)C(=O)N2CCC(CC2)N3CCCC3","UNC669","NCGC00347957-01",""
"NC1=C(NC(=O)C2=CC=C(CNC(=O)OCC3=CN=CC=C3)C=C2)C=CC=C1","Entinostat","NCGC00165833-04","HDAC1"
"C[C@H](\C=C(C)\C=C\C(O)=NO)C(=O)C1=CC=C(C=C1)N(C)C","Trichostatin A","NCGC00162453-10","HDAC1"
"CN1C=C(CNCC2CCN(CC2)C3=NC=C(C=N3)C(O)=NO)C4=C1C=CC=C4","Quisinostat hydrochloride","NCGC00346487-01","HDAC1"
"CN(C)CC1=C(OC2=C1C=CC=C2)C(=O)NCCOC3=CC=C(C=C3)C(O)=NO","Abexinostat","NCGC00346486-01","HDAC1"
"OCCN(CCC1=CNC2=C1C=CC=C2)CC3=CC=C(\C=C\C(O)=NO)C=C3","Dacinostat","NCGC00345539-02","HDAC1"
"CCCCCCCC1=CC=C(CCC2=C(C(O)=O)C(O)=CC=C2)C=C1","MG-149","NCGC00263121-01","HAT1"
"C[C@]1(CCCN1)C2=NC3=C(N2)C=CC=C3C(N)=O","Veliparib","NCGC00250404-01","PARP1"
"FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5","Olaparib","NCGC00238451-01","PARP1"
"NC(=O)C1=CC=CC2=CN(N=C12)C3=CC=C(C=C3)[C@H]4CCCNC4","Niraparib","NCGC00346435-01","PARP1"
"CN(C)CC1=CC=C(C=C1)C2=NC3=C4N2CCNC(=O)C4=CC=C3","AG-14361","NCGC00168108-02","PARP1"
"CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=CC(F)=CC(N2)=C34","Rucaparib","NCGC00263173-03","PARP1"
"NC(=O)C1=CC(=C(I)C=C1)[N+]([O-])=O","Iniparib","NCGC00263096-01","PARP1"
"NC(=O)C1=CC=CC2=C1N=C(N2)C3=C(F)C=C(C=C3)[C@H]4CCCN4","A-966492","NCGC00346576-01","PARP1"
"NC(=O)C1=CC(N)=CC=C1","INO-1001","NCGC00015034-02","PARP1"
"CC(C)C[C@@H](NC(=O)CNC(=O)C1=C(Cl)C=CC(Cl)=C1)B(O)O","MLN-2238??","NCGC00249611-03","PSMD1"
"CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN2CCOCC2)C(=O)N[C@H](CC3=CC=CC=C3)C(=O)N[C@H](CC(C)C)C(=O)[C@]4(C)CO4","Carfilzomib","NCGC00249613-03","PSMD1"
"CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)B(O)O","Bortezomib","NCGC00242506-02","PSMD1"
"C[C@]12OC(=O)[C@@]1(NC(=O)[C@@H]2CCCl)[C@@H](O)[C@H]3CCCC=C3","Marizomib","NCGC00344630-01","PSMD1"
"CC(C)C[C@@H](NC(=O)CNC(=O)C1=C(Cl)C=CC(Cl)=C1)B2OC(=O)CC(CC(O)=O)(O2)C(O)=O","Ixazomib citrate","NCGC00249612-01","PSMD1"
"CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O","MG-132","NCGC00161679-01","PSMD1"
"CCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O","MG-115","NCGC00345815-01","PSMD1"
"CC(C)C[C@H](NC(=O)[C@@H](NC(=O)C1=NC(=CC=C1)C2=CC=CC=C2)[C@@H](C)O)B(O)O","Delanzomib","NCGC00346469-01","PSMD1"
"COC[C@H](NC(=O)[C@H](COC)NC(=O)C1=CN=C(C)S1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)[C@]3(C)CO3","Oprozomib","NCGC00345799-01","PSMD1"
"CC1(C)C(N(O)C(=O)NC2=CC=C(Cl)C=C2)N(C(=O)N1CC(=O)NN=CC=CC3=CC=C(O3)[N+]([O-])=O)C4=CC=C(Cl)C=C4","Eeyarestatin I","NCGC00346884-01",""
"CC(C)C[C@@H]([C@H](O)C(O)=NO)C(=O)N[C@@H](C(=O)OC1CCCC1)C2=CC=CC=C2","Tosedostat","NCGC00263175-01","ANPEP"
"CC(C)C[C@@H](N)[C@H](O)C(=O)N[C@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@H](CC(O)=O)C(O)=O","Amastatin","NCGC00346895-01","LAP3"
